"pid","meta_class","meta_town_code","meta_nbhd","meta_certified_est_bldg","meta_certified_est_land","meta_cdu","meta_deed_type","char_hd_sf","char_age","char_apts","char_ext_wall","char_roof_cnst","char_rooms","char_beds","char_bsmt","char_bsmt_fin","char_heat","char_oheat","char_air","char_frpl","char_attic_type","char_fbath","char_hbath","char_tp_plan","char_tp_dsgn","char_cnst_qlty","char_site","char_gar1_size","char_gar1_cnst","char_gar1_att","char_gar1_area","char_ot_impr","char_bldg_sf","char_repair_cnd","char_use","char_type_resd","char_attic_fnsh","char_renovation","char_porch","geo_property_city","geo_property_zip","geo_tract_pop","geo_white_perc","geo_black_perc","geo_asian_perc","geo_his_perc","geo_other_perc","geo_fips","geo_municipality","geo_ohare_noise","geo_floodplain","geo_fs_flood_factor","geo_fs_flood_risk_direction","geo_withinmr100","geo_withinmr101300","geo_school_elem_district","geo_school_hs_district","econ_tax_rate","econ_midincome","ind_large_home","ind_arms_length","predicted_sale_price"
1,"208","26","26010",434370,123280,"Unknown","W",10720,17,2,"2","1",8,4,1,1,"1",5,1,1,3,3,1,2,1,2,2,5,2,1,2,0,4359,2,"1",2,3,1,1,"NORRIDGE","60706",3473,0.870429023898647,0.00460696803915922,0.0521163259429888,0.0662251655629139,0.00978980708321336,"53377","Norridge",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT  80","COMMUNITY HIGH SCHOOL  234",7.539,60000,"TRUE","TRUE",624568.095238095
2,"211","77","77091",66430,37010,"Unknown","W",3150,114,2,"3","1",7,3,2,3,"1",5,2,0,1,2,0,2,2,2,2,3,1,2,2,0,1848,2,"2",2,3,1,1,"CHICAGO","60623",3746,0,0.996529631607048,0.00347036839295248,0,0,"14000","Chicago",0,0,1,0,"Outside","Outside","HUGHES, C","MANLEY HS",6.913,28226,"FALSE","TRUE",65610.7706852497
3,"211","72","72091",34170,19500,"Unknown","W",3000,132,2,"1","1",5,3,2,3,"1",5,2,0,3,2,0,2,2,2,2,7,1,2,2,0,1360,2,"2",2,3,1,1,"CHICAGO","60609",2326,0.0687876182287188,0.155202063628547,0,0.765262252794497,0.0214961306964746,"14000","Chicago",0,0,1,0,"Outside","Outside","HAMLINE","RICHARDS HS",6.89,25464,"FALSE","TRUE",52860.5485714286
4,"234","32","32160",97950,29400,"Unknown","O",8400,49,2,"1","1",9,3,3,1,"1",5,1,0,3,2,1,2,2,2,2,3,1,2,2,0,1807,2,"1",4,3,1,1,"MATTESON","60443",6900,0.0697101449275362,0.833913043478261,0.0240579710144928,0.0498550724637681,0.0449275362318841,"47540","Matteson",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT 159","RICH TOWNSHIP HIGH SCHOOL  227",18.737,85750,"FALSE","TRUE",143617.281439389
5,"234","22","22080",225820,53590,"Unknown","W",6916,64,2,"2","1",6,3,3,1,"1",5,1,0,3,1,0,2,1,2,2,3,1,2,2,0,1138,2,"1",4,3,1,1,"NILES","60714",5040,0.750793650793651,0.0246031746031746,0.146626984126984,0.0680555555555555,0.0196428571428571,"53000","Niles",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT  63","MAINE TOWNSHIP HIGH SCHOOL  207",8.253,71044,"FALSE","TRUE",289142.347499641
6,"203","29","29060",179770,37800,"Unknown","W",10800,74,2,"3","1",6,3,1,3,"1",5,1,0,2,1,1,2,2,2,2,3,1,2,2,0,1428,2,"1",5,1,1,1,"PALATINE","60074",4559,0.80171090151349,0.0203992103531476,0.0587848212327265,0.0993638955911384,0.0375082254880456,"57225","Palatine",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT C C  15","PALATINE TOWNSHIP HIGH SCHOOL  211",9.835,84615,"FALSE","TRUE",245232.352992169
7,"203","37","37181",72650,18600,"Unknown","W",4960,78,2,"1","1",5,2,1,3,"1",5,2,0,1,1,0,2,2,2,2,3,1,2,2,0,1080,2,"1",5,1,1,1,"LANSING","60438",4816,0.537167774086379,0.29485049833887,0.0147425249169435,0.153239202657807,0,"42028","Lansing",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT 158","THORNTON TWP FRACTIONAL HIGH SCHOOL 215",19.524,54940,"FALSE","TRUE",63981.5862170643
8,"203","72","72193",140270,36120,"Unknown","W",4250,62,2,"2","1",5,3,1,3,"1",5,1,0,1,1,0,2,2,2,2,3,1,2,2,0,1095,2,"1",1,3,1,1,"CHICAGO","60652",5899,0.217664010849296,0.18850652652992,0.000847601288353958,0.590778097982709,0.00440752669944058,"14000","Chicago",0,0,1,0,"Outside","Outside","DURKIN PARK","BOGAN HS",6.949,68488,"FALSE","TRUE",196710.100682455
9,"203","37","37053",91890,25460,"Unknown","W",5360,42,2,"2","1",6,3,1,3,"1",5,1,0,3,1,1,2,2,2,2,3,1,2,2,0,1323,2,"1",1,3,1,1,"CALUMET CITY","60409",6173,0.0212214482423457,0.87785517576543,0,0.0912036287056537,0.0161995788109509,"10487","Calumet City",0,0,6,1,"Outside","Outside","SCHOOL DISTRICT 155","THORNTON TWP FRACTIONAL HIGH SCHOOL 215",26.203,44242,"FALSE","TRUE",91084.3615357322
10,"203","76","76030",186600,143000,"Unknown","T",3250,36,2,"2","1",5,3,1,1,"1",5,1,0,3,2,0,2,2,2,2,3,1,2,2,0,1170,2,"1",1,3,1,1,"CHICAGO","60616",4413,0.2093813732155,0.0149558123725357,0.623612055291185,0.149784726943123,0.00453206435531384,"14000","Chicago",0,0,1,0,"Outside","Outside","HEALY","TILDEN HS",6.89,34127,"FALSE","TRUE",341543.412698413
